method,run_id,seed,control_name,control_value,checkpoint_kind,metric_schema_version,checkpoint_size,checkpoint_mtime_ns,metric_definition,decoder_pairwise_cosine_similarity
jumprelu,jumprelu_l0_coefficient=0.07_seed=0,0,l0_coefficient,0.07,last,1,1063279,1786570011543145978,Sparse but Wrong Eq. (4),0.0715252819048428
jumprelu,jumprelu_l0_coefficient=0.0_seed=0,0,l0_coefficient,0.0,last,1,1063279,1786570023211314576,Sparse but Wrong Eq. (4),0.0693710314291411
jumprelu,jumprelu_l0_coefficient=0.15_seed=0,0,l0_coefficient,0.15,last,1,1063279,1786570011223141354,Sparse but Wrong Eq. (4),0.07258686698578515
jumprelu,jumprelu_l0_coefficient=0.1_seed=0,0,l0_coefficient,0.1,last,1,1063279,1786570009711119500,Sparse but Wrong Eq. (4),0.07209272187106949
jumprelu,jumprelu_l0_coefficient=0.2_seed=0,0,l0_coefficient,0.2,last,1,1063279,1786570002091009340,Sparse but Wrong Eq. (4),0.07263887422388779
jumprelu,jumprelu_l0_coefficient=0.3_seed=0,0,l0_coefficient,0.3,last,1,1063279,1786570008371100130,Sparse but Wrong Eq. (4),0.07308659114051398
jumprelu,jumprelu_l0_coefficient=0.5_seed=0,0,l0_coefficient,0.5,last,1,1063279,1786570000306983543,Sparse but Wrong Eq. (4),0.07397410445868138
jumprelu,jumprelu_l0_coefficient=0.7_seed=0,0,l0_coefficient,0.7,last,1,1063279,1786570003527030102,Sparse but Wrong Eq. (4),0.07390059593611435
jumprelu,jumprelu_l0_coefficient=1.0_seed=0,0,l0_coefficient,1.0,last,1,1063279,1786570002323012694,Sparse but Wrong Eq. (4),0.07541330887642246
jumprelu,jumprelu_l0_coefficient=1.5_seed=0,0,l0_coefficient,1.5,last,1,1063279,1786569997958949589,Sparse but Wrong Eq. (4),0.07602381033938055
jumprelu,jumprelu_l0_coefficient=10.0_seed=0,0,l0_coefficient,10.0,last,1,1063279,1786569985110763734,Sparse but Wrong Eq. (4),0.08107661960158935
jumprelu,jumprelu_l0_coefficient=2.0_seed=0,0,l0_coefficient,2.0,last,1,1063279,1786570003791033919,Sparse but Wrong Eq. (4),0.07687664383290085
jumprelu,jumprelu_l0_coefficient=3.0_seed=0,0,l0_coefficient,3.0,last,1,1063279,1786570004631046063,Sparse but Wrong Eq. (4),0.07794376327133755
jumprelu,jumprelu_l0_coefficient=3.5_seed=0,0,l0_coefficient,3.5,last,1,1063279,1786569986610785438,Sparse but Wrong Eq. (4),0.07896502788207255
jumprelu,jumprelu_l0_coefficient=30.0_seed=0,0,l0_coefficient,30.0,last,1,1063279,1786569984622756673,Sparse but Wrong Eq. (4),0.08249060247010419
jumprelu,jumprelu_l0_coefficient=4.0_seed=0,0,l0_coefficient,4.0,last,1,1063279,1786569989638829247,Sparse but Wrong Eq. (4),0.07869205089941048
jumprelu,jumprelu_l0_coefficient=4.1_seed=0,0,l0_coefficient,4.1,last,1,1063279,1786569988358810729,Sparse but Wrong Eq. (4),0.0791209177713169
jumprelu,jumprelu_l0_coefficient=4.25_seed=0,0,l0_coefficient,4.25,last,1,1063279,1786569984822759567,Sparse but Wrong Eq. (4),0.07935834953015981
jumprelu,jumprelu_l0_coefficient=4.2_seed=0,0,l0_coefficient,4.2,last,1,1063279,1786569983574741507,Sparse but Wrong Eq. (4),0.07870168638301119
jumprelu,jumprelu_l0_coefficient=4.3_seed=0,0,l0_coefficient,4.3,last,1,1063279,1786569985014762345,Sparse but Wrong Eq. (4),0.07957629107140703
jumprelu,jumprelu_l0_coefficient=5.0_seed=0,0,l0_coefficient,5.0,last,1,1063279,1786569983910746370,Sparse but Wrong Eq. (4),0.07885965477463276
l1,l1_l1_coefficient=0.0003_seed=0,0,l1_coefficient,0.0003,last,1,1058929,1786569833148556638,Sparse but Wrong Eq. (4),0.06912358059296665
l1,l1_l1_coefficient=0.002_seed=0,0,l1_coefficient,0.002,last,1,1058929,1786569802172104453,Sparse but Wrong Eq. (4),0.06954426193862878
l1,l1_l1_coefficient=0.02_seed=0,0,l1_coefficient,0.02,last,1,1058929,1786569838196630248,Sparse but Wrong Eq. (4),0.06971500571792656
l1,l1_l1_coefficient=0.05_seed=0,0,l1_coefficient,0.05,last,1,1058929,1786569837876625583,Sparse but Wrong Eq. (4),0.0698867950521817
l1,l1_l1_coefficient=0.0_seed=0,0,l1_coefficient,0.0,last,1,1058929,1786569837672622608,Sparse but Wrong Eq. (4),0.06925583460895275
l1,l1_l1_coefficient=0.1_seed=0,0,l1_coefficient,0.1,last,1,1058929,1786569836620607270,Sparse but Wrong Eq. (4),0.0696170001206289
l1,l1_l1_coefficient=0.25_seed=0,0,l1_coefficient,0.25,last,1,1058929,1786569805224149044,Sparse but Wrong Eq. (4),0.07115138368662341
l1,l1_l1_coefficient=0.2_seed=0,0,l1_coefficient,0.2,last,1,1058929,1786569837268616717,Sparse but Wrong Eq. (4),0.07062620730611763
