seed,method,control,batch_size,full_profile_gaussian,mean_batch_profile_gaussian,jensen_gap,beta_mean,beta_std,beta_full,floor_active
2402,vg_no_entropy,0.0,256,-32.38799285888672,-32.421836853027344,0.033843994140625,3339.701904296875,418.6112365722656,3284.594482421875,False
2402,vg_profiled,0.0,16,-14.925485610961914,-15.240684509277344,0.3151988983154297,47.18600845336914,11.1541109085083,41.73630142211914,False
2402,vg_profiled,0.0,256,-14.925485610961914,-14.950536727905273,0.025051116943359375,42.256568908691406,4.6161627769470215,41.73630142211914,False
2402,vg_no_variance,2.0,16,-32.981788635253906,-34.819541931152344,1.8377532958984375,8160.7734375,5672.19580078125,3810.239990234375,False
2402,vg_no_variance,2.0,256,-32.981788635253906,-33.08159255981445,0.09980392456054688,3996.75341796875,817.778564453125,3810.239990234375,False
2402,vg_learned,0.0,16,-15.471761703491211,-15.791826248168945,0.3200645446777344,54.06612777709961,12.319095611572266,47.843753814697266,False
2402,vg_learned,0.0,256,-15.471761703491211,-15.50540542602539,0.03364372253417969,48.64214324951172,6.10395622253418,47.843753814697266,False
2402,vg_no_variance,4.0,16,-30.117258071899414,-31.7454833984375,1.628225326538086,3603.14794921875,2298.880615234375,1861.828857421875,False
2402,vg_no_variance,4.0,256,-30.117258071899414,-30.193580627441406,0.07632255554199219,1933.939453125,373.2143249511719,1861.828857421875,False
2402,vg_profiled,2.0,16,-13.593741416931152,-13.735466003417969,0.1417245864868164,31.79678726196289,6.3419599533081055,29.91725730895996,False
2402,vg_profiled,2.0,256,-13.593741416931152,-13.601311683654785,0.0075702667236328125,30.02992057800293,1.821390151977539,29.91725730895996,False
2402,vg_learned,2.0,16,-13.818877220153809,-13.965089797973633,0.14621257781982422,33.706268310546875,6.856133460998535,31.64940643310547,False
2402,vg_learned,2.0,256,-13.818877220153809,-13.827510833740234,0.008633613586425781,31.785497665405273,2.0620877742767334,31.64940643310547,False
2402,vg_no_entropy,4.0,16,-10.014747619628906,-10.20170783996582,0.18696022033691406,13.375089645385742,3.8659732341766357,12.227492332458496,False
2402,vg_no_entropy,4.0,256,-10.014747619628906,-10.025026321411133,0.010278701782226562,12.290756225585938,0.8879231810569763,12.227492332458496,False
